"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Anemone L.",-80.51826,37.35949,"Anemone L.","Ranunculales","Ranunculaceae","Anemone",NA,"Anemone",NA,"United States of America"
"Botrychium virginianum (L.) Sw.",-80.51826,37.35949,"Botrychium virginianum (L.) Sw.","Ophioglossales","Ophioglossaceae","Botrypus","Botrypus virginianus","Botrychium","virginianum","United States of America"
"Trientalis borealis Raf.",-80.5172,37.37498,"Trientalis borealis Raf.","Ericales","Primulaceae","Lysimachia","Lysimachia borealis","Trientalis","borealis","United States of America"
"Aralia nudicaulis L.",-80.51826,37.35949,"Aralia nudicaulis L.","Apiales","Araliaceae","Aralia","Aralia nudicaulis","Aralia","nudicaulis","United States of America"
"Amianthium muscitoxicum (Walter) A.Gray",-80.522747,37.375136,"Amianthium muscitoxicum (Walter) A.Gray","Liliales","Melanthiaceae","Amianthium","Amianthium muscitoxicum","Amianthium","muscitoxicum","United States of America"
"Goodyera pubescens R.Br.",-80.522747,37.375136,"Goodyera pubescens R.Br.","Asparagales","Orchidaceae","Goodyera","Goodyera pubescens","Goodyera","pubescens","United States of America"
"Prunella vulgaris L.",-80.522747,37.375136,"Prunella vulgaris L.","Lamiales","Lamiaceae","Prunella","Prunella vulgaris","Prunella","vulgaris","United States of America"
"Castanea dentata Borkh.",-80.522747,37.375136,"Castanea dentata Borkh.","Fagales","Fagaceae","Castanea","Castanea dentata","Castanea","dentata","United States of America"
"Clinopodium vulgare L.",-80.522747,37.375136,"Clinopodium vulgare L.","Lamiales","Lamiaceae","Clinopodium","Clinopodium vulgare","Clinopodium","vulgare","United States of America"
"Monotropa uniflora L.",-80.519314,37.377524,"Monotropa uniflora L.","Ericales","Ericaceae","Monotropa","Monotropa uniflora","Monotropa","uniflora","United States of America"
"Monarda didyma L.",-80.522747,37.375136,"Monarda didyma L.","Lamiales","Lamiaceae","Monarda","Monarda didyma","Monarda","didyma","United States of America"
