species,latitude,longitude,genus,epithet,family,order,country
Prunus pensylvanica,44.12179,-71.21355,Prunus,pensylvanica,Rosaceae,Rosales,United states
Gaultheria hispidula,44.03557,-71.27599,Gaultheria,hispidula,Ericaceae,Ericales,United states
Lycopus uniflorus,43.99618,-71.34975,Lycopus,uniflorus,Lamiaceae,Lamiales,United states
Symphyotrichum cordifolium,44.00242,-71.27781,Symphyotrichum,cordifolium,Asteraceae,Asterales,United states
Verbascum thapsus,44.00242,-71.27781,Verbascum,thapsus,Scrophulariaceae,Lamiales,United states
Fragaria virginiana,44.00242,-71.27781,Fragaria,virginiana,Rosaceae,Rosales,United states
Acer rubrum,44.026611,-71.322722,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer spicatum,44.035395,-71.276866,Acer,spicatum,Sapindaceae,Sapindales,United states
Acer spicatum,44.035472,-71.277149,Acer,spicatum,Sapindaceae,Sapindales,United states
Ostrya virginiana,44.13304,-71.26039,Ostrya,virginiana,Betulaceae,Fagales,United states
Ostrya virginiana,44.13304,-71.26039,Ostrya,virginiana,Betulaceae,Fagales,United states
Ilex verticillata,44.00517,-71.27777,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Betula alleghaniensis britton,44.0478,-71.3753,Betula,alleghaniensis,Betulaceae,Fagales,United states
Hypericum perforatum,44.08019,-71.23305,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Apocynum cannabinum l.,44.0857,-71.3458,Apocynum,cannabinum,Apocynaceae,Gentianales,United states
Monotropa uniflora l.,44.0836,-71.3463,Monotropa,uniflora,Ericaceae,Ericales,United states
Arceuthobium pusillum,44.02,-71.35,Arceuthobium,pusillum,Santalaceae,Santalales,United states
Cephalanthus occidentalis,43.9867,-71.2307,Cephalanthus,occidentalis,Rubiaceae,Gentianales,United states
Rhododendron groenlandicum,43.990011,-71.312544,Rhododendron,groenlandicum,Ericaceae,Ericales,United states
Orthilia secunda,44.109694,-71.34802,Orthilia,secunda,Ericaceae,Ericales,United states
Betula papyrifera,44.026496,-71.32276,Betula,papyrifera,Betulaceae,Fagales,United states
Galium odoratum,44.02657,-71.3228,Galium,odoratum,Rubiaceae,Gentianales,United states
Eupatorium perfoliatum,44.12179,-71.21355,Eupatorium,perfoliatum,Asteraceae,Asterales,United states
Monotropa uniflora,44.04172,-71.27644,Monotropa,uniflora,Ericaceae,Ericales,United states
Populus grandidentata,44.0309,-71.26331,Populus,grandidentata,Salicaceae,Malpighiales,United states
Rosa spinosissima,43.99618,-71.34975,Rosa,spinosissima,Rosaceae,Rosales,United states
Silphium asteriscus,44.0062,-71.27915,Silphium,asteriscus,Asteraceae,Asterales,United states
Rubus odoratus,44.12179,-71.21355,Rubus,odoratus,Rosaceae,Rosales,United states
Vaccinium angustifolium,44.12179,-71.21355,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Diervilla lonicera,44.0309,-71.26331,Diervilla,lonicera,Diervillaceae,Dipsacales,United states
Fagus grandifolia,44.026496,-71.32276,Fagus,grandifolia,Fagaceae,Fagales,United states
Acer pensylvanicum,44.026605,-71.322865,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Viburnum lantanoides,44.055042,-71.270279,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Acer pensylvanicum,44.035348,-71.277022,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Cornus alternifolia,44.035411,-71.276973,Cornus,alternifolia,Cornaceae,Cornales,United states
Amelanchier bartramiana,44.055938,-71.269913,Amelanchier,bartramiana,Rosaceae,Rosales,United states
Ilex verticillata,44.00517,-71.27777,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Hypericum ellipticum hook.,44.0649,-71.3759,Hypericum,ellipticum,Hypericaceae,Malpighiales,United states
Picea rubens,44.027382,-71.323007,Picea,rubens,Pinaceae,Pinales,United states
Tsuga canadensis,44.056039,-71.270073,Tsuga,canadensis,Pinaceae,Pinales,United states
Abies balsamea,44.026496,-71.32276,Abies,balsamea,Pinaceae,Pinales,United states
Picea rubens,44.0309,-71.26331,Picea,rubens,Pinaceae,Pinales,United states
Picea rubens,44.03547,-71.27624,Picea,rubens,Pinaceae,Pinales,United states
Picea rubens,44.03536,-71.276758,Picea,rubens,Pinaceae,Pinales,United states
Pinus strobus,44.026496,-71.32276,Pinus,strobus,Pinaceae,Pinales,United states
Picea rubens,44.05,-71.32,Picea,rubens,Pinaceae,Pinales,United states
Tsuga canadensis,44.035482,-71.276247,Tsuga,canadensis,Pinaceae,Pinales,United states
Picea mariana,43.97408,-71.27017,Picea,mariana,Pinaceae,Pinales,United states
Picea rubens,44.026608,-71.322868,Picea,rubens,Pinaceae,Pinales,United states
Juniperus communis,44.12179,-71.21355,Juniperus,communis,Cupressaceae,Pinales,United states
Picea rubens,44.026572,-71.322757,Picea,rubens,Pinaceae,Pinales,United states
Pinus banksiana,43.97408,-71.27017,Pinus,banksiana,Pinaceae,Pinales,United states
Pinus resinosa,44.08019,-71.23305,Pinus,resinosa,Pinaceae,Pinales,United states
Pinus resinosa,44.08019,-71.23305,Pinus,resinosa,Pinaceae,Pinales,United states
Picea rubens,44.0309,-71.26331,Picea,rubens,Pinaceae,Pinales,United states
Tsuga canadensis,44.026572,-71.322834,Tsuga,canadensis,Pinaceae,Pinales,United states
Tsuga canadensis,44.054735,-71.269979,Tsuga,canadensis,Pinaceae,Pinales,United states
Taxus canadensis,44.02657,-71.3228,Taxus,canadensis,Taxaceae,Pinales,United states
Tsuga canadensis,44.05521,-71.270271,Tsuga,canadensis,Pinaceae,Pinales,United states
Picea rubens,44.02,-71.35,Picea,rubens,Pinaceae,Pinales,United states
Larix laricina,43.99598,-71.35033,Larix,laricina,Pinaceae,Pinales,United states
Tsuga canadensis,44.055038,-71.270516,Tsuga,canadensis,Pinaceae,Pinales,United states
