species,latitude,longitude,genus,epithet,family,order,country
Vaccinium corymbosum,37.368459,-80.521726,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Rhododendron calendulaceum,37.403854,-80.508851,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Rhododendron calendulaceum,37.403854,-80.508851,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Acer rubrum,37.376248,-80.5195,Acer,rubrum,Sapindaceae,Sapindales,United states
Sassafras albidum,37.377665,-80.51792,Sassafras,albidum,Lauraceae,Laurales,United states
Quercus alba,37.378247,-80.518004,Quercus,alba,Fagaceae,Fagales,United states
Carya ovata,37.371712,-80.526018,Carya,ovata,Juglandaceae,Fagales,United states
Magnolia acuminata,37.375776,-80.519544,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Acer rubrum,37.37144,-80.5241,Acer,rubrum,Sapindaceae,Sapindales,United states
Magnolia acuminata,37.371313,-80.525772,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Ribes rotundifolium,37.3628,-80.51627,Ribes,rotundifolium,Grossulariaceae,Saxifragales,United states
Cornus alternifolia,37.37564,-80.52296,Cornus,alternifolia,Cornaceae,Cornales,United states
Eupatorium serotinum,37.35024,-80.53736,Eupatorium,serotinum,Asteraceae,Asterales,United states
Clinopodium vulgare,37.35024,-80.53736,Clinopodium,vulgare,Lamiaceae,Lamiales,United states
Alyssum alyssoides,37.35024,-80.53736,Alyssum,alyssoides,Brassicaceae,Brassicales,United states
Smallanthus uvedalia,37.33612,-80.55873,Smallanthus,uvedalia,Asteraceae,Asterales,United states
Rudbeckia laciniata var. laciniata,37.33612,-80.55873,Rudbeckia,laciniata,Asteraceae,Asterales,United states
Oclemena acuminata,37.3713,-80.5422,Oclemena,acuminata,Asteraceae,Asterales,United states
Fagus grandifolia,37.3712,-80.541,Fagus,grandifolia,Fagaceae,Fagales,United states
Laportea canadensis,37.3698,-80.5388,Laportea,canadensis,Urticaceae,Rosales,United states
Micranthes micranthidifolia,37.3502,-80.5378,Micranthes,micranthidifolia,Saxifragaceae,Saxifragales,United states
Hydrophyllum canadense,37.3415,-80.5669,Hydrophyllum,canadense,Boraginaceae,Boraginales,United states
Phytolacca americana,37.3255,-80.5939,Phytolacca,americana,Phytolaccaceae,Caryophyllales,United states
Viburnum acerifolium,37.3546,-80.5957,Viburnum,acerifolium,Adoxaceae,Dipsacales,United states
Trautvetteria caroliniensis,37.3576,-80.5896,Trautvetteria,carolinensis,Ranunculaceae,Ranunculales,United states
Rubus odoratus,37.3569,-80.5906,Rubus,odoratus,Rosaceae,Rosales,United states
Scutellaria saxatilis,37.3726,-80.5415,Scutellaria,saxatilis,Lamiaceae,Lamiales,United states
Sanguinaria canadensis,37.362,-80.5681,Sanguinaria,canadensis,Papaveraceae,Ranunculales,United states
Viola blanda,37.35949,-80.51826,Viola,blanda,Violaceae,Malpighiales,United states
Podophyllum peltatum,37.35002,-80.53698,Podophyllum,peltatum,Berberidaceae,Ranunculales,United states
Quercus ilicifolia,37.35007,-80.53696,Quercus,ilicifolia,Fagaceae,Fagales,United states
Vaccinium erythrocarpum michx.,37.35527,-80.53805,Vaccinium,erythrocarpum,Ericaceae,Ericales,United states
Galax urceolata (poir.) brummitt,37.36,-80.53416,Galax,aphylla,Diapensiaceae,Ericales,United states
Viola cucullata,37.36763,-80.53176,Viola,palustris,Violaceae,Malpighiales,United states
Asclepias exaltata,37.3695,-80.62083333,Asclepias,exaltata,Apocynaceae,Gentianales,United states
Asclepias exaltata,37.36983333,-80.61,Asclepias,exaltata,Apocynaceae,Gentianales,United states
Geranium maculatum,37.43094,-80.5494,Geranium,maculatum,Geraniaceae,Geraniales,United states
Acer pensylvanicum,37.36763,-80.53176,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Vaccinium angustifolium,37.373703,-80.520868,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium corymbosum,37.391921,-80.506191,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Acer pensylvanicum,37.36763,-80.53176,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Ilex verticillata,37.42957,-80.491449,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Monotropa uniflora,37.37456,-80.52275,Monotropa,uniflora,Ericaceae,Ericales,United states
Monotropa uniflora,37.37456,-80.52275,Monotropa,uniflora,Ericaceae,Ericales,United states
Acer rubrum,37.379811,-80.5218,Acer,rubrum,Sapindaceae,Sapindales,United states
Sassafras albidum,37.377422,-80.522837,Sassafras,albidum,Lauraceae,Laurales,United states
Quercus rubra,37.37625,-80.51949,Quercus,rubra,Fagaceae,Fagales,United states
Acer pensylvanicum,37.380236,-80.5219,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Quercus alba,37.378209,-80.522579,Quercus,alba,Fagaceae,Fagales,United states
Carya ovata,37.371041,-80.526158,Carya,ovata,Juglandaceae,Fagales,United states
Hamamelis virginiana,37.376677,-80.525393,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Quercus rubra,37.374973,-80.526975,Quercus,rubra,Fagaceae,Fagales,United states
Sassafras albidum,37.376133,-80.519032,Sassafras,albidum,Lauraceae,Laurales,United states
Oclemena acuminata,37.35925,-80.51839,Oclemena,acuminata,Asteraceae,Asterales,United states
Vaccinium erythrocarpum,37.35891,-80.51887,Vaccinium,erythrocarpum,Ericaceae,Ericales,United states
Nabalus altissimus,37.35891,-80.51887,Nabalus,altissimus,Asteraceae,Asterales,United states
Quercus velutina,37.37577,-80.52275,Quercus,bicolor,Fagaceae,Fagales,United states
Ilex verticillata,37.37648,-80.52499,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Viburnum rufidulum,37.374969,-80.53663,Viburnum,rufidulum,Adoxaceae,Dipsacales,United states
Rhododendron pilosum,37.35024,-80.53736,Rhododendron,pilosum,Ericaceae,Ericales,United states
Cryptotaenia canadensis,37.35024,-80.53736,Cryptotaenia,canadensis,Apiaceae,Apiales,United states
